,raw_aspects,aspect_categories,majority_category,sentiments,tones,avg_confidence
1773,Water Management,S,E,Positive,Action,0.9016115046888162
1774,Employee Development,E,E,positive,Action,0.9457659516747383
1775,"Sustainability Implementation, Sustainability implementation",E,G,positive,"Action, Commitment, Outcome",0.9838395837202804
1776,Energy Efficiency,S,S,"Positive, neutral",Collaborative,0.398383369460486
1777,"human impact, human-centered impact",G,E,positive,Action,0.4918481176888856
1778,scope 1 emissions,E,G,positive,Commitment,0.3823356552293711
1779,"Company History, company history",E,G,positive,Commitment,0.9146466914590314
1780,resource efficiency,S,S,neutral,Commitment,0.22698744923356862
1781,Biodiversity Conservation,E,E,positive,"Action, Initiative",0.5804766319978536
1782,Penggunaan energi terbarukan,E,G,positive,Commitment,0.37316514058605676
1783,Local Supplier Empowerment,S,E,positive,Commitment,0.15981566143034098
1784,Long-term Business Sustainability,S,E,positive,"Action, Commitment",0.5620416269001492
1785,Pemenuhan hak karyawan,S,E,positive,Commitment,0.25847559645798057
1786,biodiversity conservation,S,S,Positive,Action,0.28084655513112033
1787,Production Scale,S,G,positive,Innovation,0.08222895070379799
1788,Net-zero emission target for 2060,E,G,positive,Outcome,0.9001644122775813
1789,"corporate governance, good corporate governance",S,S,positive,Commitment,0.4995252389985695
1790,Innovation investments for circularity,E,G,positive,Action,0.9849616752442216
1791,community development,E,S,neutral,Commitment,0.0005878676682590234
1792,"Road Safety Rating, road safety rating",G,E,"Positive, positive","Action, Commitment",0.8858966364785656
1793,Business process efficiency,G,E,positive,Action,0.41081951700873587
1794,Reporting Assurance Standards,E,E,positive,Commitment,0.9794146952445764
1795,Sustainability Certification,S,G,neutral,Commitment,0.05954798772436143
1796,Supply Chain Agility,ESG,E,positive,Action,0.4238966154896988
1797,Restrukturisasi perusahaan,E,E,positive,Action,0.03746153020224596
1798,"Sustainable Supply Chain Management, sustainable supply chain management",S,G,positive,Commitment,0.27694521704001873
1799,Operational Responsibility,G,E,Negative,Outcome,0.40377288204080064
1800,company vision,G,E,positive,Outcome,0.7523936411132494
1801,"Stakeholder Engagement, Stakeholder engagement",E,S,Positive,Outcome,0.9082094974899452
1802,Sustainability Culture,ESG,S,positive,Commitment,0.6803632806270257
1803,Environmental Management,G,E,positive,Outcome,0.16285057731295194
1804,Peluang pertumbuhan sektor peternakan akibat rendahnya konsumsi daging ayam,"G, None",S,positive,Outcome,0.020288512659848656
1805,Integrasi LST dalam kebijakan kredit sektoral,G,E,positive,Action,0.9250496020890634
1806,contribution towards the achievement of the SDGs,S,E,POSITIVE,Action,0.021733368292877753
1807,Net-Zero Commitment,E,E,negative,Commitment,0.9402486555343084
1808,Community Development,E,G,positive,Action,0.3726493241451615
1809,Community water access improvement,S,E,positive,Outcome,0.06041117401630369
1810,keberlanjutan,E,E,positive,"Action, Initiative",0.7352763912239355
1811,Food Security,G,S,positive,Action,0.9958289815105565
1812,Good governance as the key to success company business sustainability,S,E,positive,Commitment,0.23526288238504667
1813,Biodiversity Conservation,G,G,Neutral,Outcome,0.15001654292232436
1814,climate risk management,E,E,positive,Action,0.22719375836853373
1815,Climate Change Alignment,E,E,positive,Commitment,0.3585711063220922
1816,Rainwater Harvesting,E,E,positive,Commitment,0.9975048132266897
1817,Model Bisnis,"G, None",G,positive,Commitment,0.2135674659069211
1818,ESG aspects,E,E,positive,Outcome,0.007528295772966875
1819,Governance,E,E,positive,Outcome,0.2436529839418985
1820,Service infrastructure development,S,G,positive,Action,0.7354454196521204
1821,sustainable materials,E,E,positive,Action,0.721078607394176
1822,Kommitmen Bank Mandiri pada ESG,E,S,positive,Methodology,0.26915252023636094
1823,business strategy,E,G,positive,Action,0.3244632541212157
1824,kelestarian lingkungan,E,E,neutral,Outcome,0.9412459214052503
1825,Sustainability Strategy,G,S,positive,Outcome,0.7659458525642576
1826,Governance,S,S,Positive,Commitment,0.8899160760058016
1827,Assurance,E,G,"Positive, positive",Commitment,0.4586953219733443
1828,pandemic response,E,Environmental,positif,Outcome,0.48642036833518765
1829,capital adequacy management,S,G,"Positive, positive",Commitment,0.7556458119976517
1830,Kesehatan dan keselamatan karyawan selama pandemi,"G, S",G,"Positive, positive",Outcome,0.8216721521698929
1831,renewable energy usage,"E, G",E,positive,Outcome,0.6990859553845779
1832,sustainable business practices,E,E,Positive,Commitment,0.24017450250546946
1833,renewable energy usage,E,S,positive,Outcome,0.9024094531454712
1834,Teknologi baterai lithium dan desain menara berkelanjutan,G,E,positive,Action,0.4756303211276207
1835,Sustainability Goals,S,E,positive,Action,0.8569511793138197
1836,sustainable development goals,S,S,positive,Commitment,0.5846819377051153
1837,Materialitas ESG,E,G,positive,Commitment,0.7063743527604349
1838,Legal Compliance,E,E,positive,"Action, Outcome",0.5708374024504821
1839,"Low Carbon Economy Transition, low carbon economy transition",G,ESG,positive,Outcome,0.07731311220460912
1840,kinerja ekonomi,G,Governance,positive,Action,0.09928230328322973
1841,Dukungan terhadap Peternak dan Petambak,E,E,positive,Outcome,0.10556828760036274
1842,Governance and Sustainability,S,E,negative,Action,0.20506085884434355
1843,Customer Privacy Protection Outcome,E,E,positive,Commitment,0.8932170748616564
1844,social impact of connectivity,S,E,positive,Action,0.1021051651862035
1845,Workplace Culture,"S, Social",E,positive,Action,0.43517592865356935
1846,Assurance Independence,E,E,negative,Action,0.3857069970841639
1847,"Stakeholder collaboration, stakeholder collaboration",E,G,positive,Action,0.34389806827388536
1848,Komitmen terhadap keberlanjutan perusahaan media,S,G,positive,Outcome,0.7414596265945188
1849,Company growth and sustainability,E,S,positive,Outcome,0.33489365476862765
1850,inklusi keuangan,E,G,Positive,Commitment,0.8524008346935157
1851,"Integrated ESG management, integrated ESG management",S,E,positive,"Commitment, Strategy",0.6669959958873809
1852,social life cycle assessment of farmer partnership,S,E,Positive,Outcome,0.5001258551103042
1853,sustainable development goals,G,E,positive,Outcome,0.4792318061557109
1854,Clean Energy Production,E,E,positive,Commitment,0.09347079654150847
1855,Anti-Corruption,Environmental,S,positive,Strategic Direction,0.037390614275887635
1856,Komitmen ESG holistik,E,E,positive,Action,0.3336833221469382
1857,Packaging and Plastic Waste Reduction,S,E,positive,Commitment,0.6522262017204301
1858,installed capacity,G,G,positive,Action,0.19364679614249647
1859,Risk mitigation measures,S,S,positive,Action,0.9146271538183235
1860,"Environmental Sustainability, Environmental and Social Responsibility",G,G,neutral,Commitment,0.5119428201140523
1861,Kesejahteraan Pekerja,S,E,neutral,Action,0.007743440223023312
1862,Waste Management,S,S,positive,Action,0.7883730208967556
1863,Market Position,G,E,positive,Action,0.13176244310320906
1864,"Energy Efficiency and Waste Management, Energy efficiency and waste management",S,G,positive,Commitment,0.6436738811031837
1865,Sustainability Strategy,E,E,"POSITIVE, positive",Action,0.9399955616797403
1866,Climate Change Mitigation,G,S,positive,Outcome,0.9809067508012815
1867,Nutritional Standards,E,S,positive,Commitment,0.6851864422704271
1868,Leadership Recognition,E,G,"Positive, positive",Action,0.7641319257847244
1869,Carbon Neutral Computing Services,G,E,neutral,Commitment,0.1959999588966591
1870,service infrastructure,E,S,Positive,Commitment,0.7480394140500956
1871,social life cycle assessment,E,E,positive,Outcome,0.21026043789583593
1872,environmental awareness,E,E,positive,Action,0.579522450186169
1873,Sustainability framework,E,S,neutral,Outcome,0.12054450423644991
1874,customer trust and value-added services,E,E,Positive,Commitment,0.856244173417053
1875,Addressing Malnutrition,E,E,neutral,Outcome,0.1401588359720105
1876,environmental impact assessment,E,E,Positive,Outcome,0.8940686416674117
1877,report integration,E,E,neutral,Commitment,0.6039572138264123
1878,integrated production chain,S,S,positive,Action,0.44271801715549886
1879,"Compliance, compliance",G,S,positive,Outcome,0.9075406010781378
1880,water conservation initiatives,E,G,positive,Commitment,0.9283435968111043
1881,Praktik Keberlanjutan,G,G,positive,Commitment,0.29827218967357483
1882,Low-carbon ammonia production (Blue Ammonia),S,E,positive,Outcome,0.06478655683681345
1883,Economic Performance - Revenue,E,S,positive,Outcome,0.5016997913085178
1884,Strategi Produksi,G,G,positive,Action,0.16936544593822955
1885,low-carbon economy,E,E,positive,Commitment,0.14136545955469026
1886,continuous learning,G,E,neutral,Outcome,0.02663597533200268
1887,Reducing greenhouse gas emissions from operations,Social,S,"Positive, positive",Commitment,0.3800091077518619
1888,gerai Apple Premium Partner,S,S,positive,Commitment,0.6814640211630104
1889,gender equality ranking,S,G,"Positive, positive",Action,0.992308072359082
1890,Renewable Energy,E,S,neutral,Outcome,0.897254997083857
1891,Safety Rating,G,E,negative,Commitment,0.9909268935807434
1892,Sustainability in Workplace,S,G,positive,Action,0.4479627971174469
1893,sustainability-linked financing framework,S,S,positive,Commitment,0.7824962688110431
1894,sustainability reporting,E,E,positive,Commitment,0.4367101102318345
1895,Employee Relations,E,E,"Positive, positive",Action,0.2580308980697663
1896,CSR Donation,G,E,positive,Outcome,0.6311592679517992
1897,Climate Risk Integration,S,E,positive,Commitment,0.8777260188916537
1898,Product Innovation,E,E,"Positif, positive",Action,0.7248906831289241
1899,Human resource development performance,"G, None",G,neutral,Commitment,0.19484889023370644
1900,information security recognition,S,E,positive,Commitment,0.4701848905128574
1901,Component Rebuild Center (CRC),E,E,positive,Action,0.25085322724603143
1902,Pengurangan kesenjangan akses informasi melalui tayangan virtual,G,S,Neutral,Action,0.6460292782981193
1903,"EMPLOYEE REPRESENTATIVES AT SAFETY COMMITTEE, employee representatives at safety committee",E,S,positive,Commitment,0.1402933249240721
1904,100% renewable Supercharger network,S,S,positive,Action,0.6503349552759169
1905,Sustainability Strategy,E,S,positive,Commitment,0.8158296889830478
1906,sustainability performance,S,G,positive,Commitment,0.4503060357339036
1907,Business Continuity,S,S,neutral,Outcome,0.7112541144297693
1908,Strategic Pillars,S,E,negative,Outcome,0.3505187632517698
1909,Gender Pay Equity,E,E,neutral,Outcome,0.8753740518922025
1910,Energy Management,S,E,"Positive, positive",Outcome,0.38878976237446894
1911,Community Support,S,S,positive,"Action, Commitment",0.7022122135158596
1912,Kemitraan,S,E,positive,Action,0.049275986930054194
1913,wastewater treatment,E,G,positive,Action,0.4565010269957893
1914,R&D Investment,E,E,positive,Outcome,0.11043392616940317
1915,"E-commerce Development, e-commerce development",S,G,"Positive, positive","Factual, Outcome",0.27979950023184164
1916,digitalization initiatives,G,E,neutral,Commitment,0.522453891156468
1917,Sustainable Growth,S,E,positive,Performance,0.7950390391587318
1918,resource efficiency,S,S,Positive,Action,0.6080209493422389
1919,Other,E,E,positive,Commitment,0.4474621054402437
1920,Dampak,G,E,positive,Action,0.5168410864973597
1921,commitment to environmental protection and management,E,G,positive,Action,0.47947204639177876
1922,ESG integration for SDGs,ESG,G,neutral,Commitment,0.345133260224058
1923,Food Security,G,E,positive,Commitment,0.35971527550252713
1924,Occupational Health & Safety,E,E,Positive,Action,0.9427621001873497
1925,environmental responsibility,E,S,positive,Action,0.2656668460671405
1926,Penggunaan teknologi ramah lingkungan,E,E,positive,Outcome,0.6015682225879131
1927,"CSRD Compliance, CSRD compliance","E, G",E,positive,Commitment,0.1582191458884774
1928,Content Promotion,S,G,negative,Action,0.9337447427063753
1929,corporate governance,E,S,positive,"Action, Commitment",0.8220356396565834
1930,Office Closures,E,S,positive,Outcome,0.45200247705088703
1931,"Community Health, community sanitation",S,S,"Netral, neutral",Action,0.42151963867017883
1932,"Environmental Grievances, environmental grievances",S,S,positive,Commitment,0.7983652094995338
1933,"Corporate Culture Implementation, Corporate culture implementation",S,G,POSITIVE,Outcome,0.8372896999861636
1934,Emissions Comparison,S,S,neutral,Achievement,0.3248210087290023
1935,Renewable Energy,E,Governance,positive,"Action, Commitment",0.689608868805524
1936,Sustainable Finance - Business Continuity,G,E,Positive,Outcome,0.08678672635438156
1937,solar panel CO₂ reduction,E,G,Positive,Action,0.28203896573447373
1938,Agribusiness Sustainability Issues,E,S,Neutral,Commitment,0.5638441836705587
1939,Biodiversity funding,G,E,positive,Risk,0.11907014668034732
1940,Sustainability Strategy,G,S,positive,"Action, Commitment",0.4589840173409835
1941,Energy Consumption,S,G,positive,Commitment,0.7401555842462247
1942,Mission-driven Sustainability,S,S,positive,Action,0.39362098100313647
1943,International Acquisition,E,E,positive,"None, Outcome",0.13958684784629471
1944,shareholder meeting,G,E,positive,Action,0.4784715847790456
1945,Sustainable Development Goals,"E, ESG",G,positive,Commitment,0.24152603568038555
1946,Governance,E,E,"Positive, positive",Governance,0.8442731561151519
1947,e-commerce development,S,E,positive,Outcome,0.755772649559851
1948,New Product Distribution Agreement,G,G,Negative,Action,0.15942359230593495
1949,Environmental Sustainability,S,G,positive,Commitment,0.4222708800215358
1950,,S,E,positive,Commitment,0.6027633403875856
1951,Market Uncertainty,E,G,positive,Commitment,0.7149170677350324
1952,"Sustainable Materials, sustainable materials",E,E,positive,Recognition,0.0670897426145719
1953,land management,G,G,neutral,Action,0.3334618216853018
1954,"Retail Expansion, retail expansion",G,E,neutral,Commitment,0.5812276275457202
1955,Community Welfare,G,S,positive,"Action, Outcome",0.928169749206531
1956,Economic Growth,S,S,positive,Action,0.09733478368927229
1957,economic performance,E,E,positive,Action,0.5543347238464168
1958,Sustainable Business Model,S,E,positive,Commitment,0.9664524733581377
1959,keberlanjutan,E,G,positive,Commitment,0.42432419187998693
1960,SDGs strategy,E,E,negative,Commitment,0.013861935894822874
1961,Clean Energy,E,S,neutral,Outcome,0.49687268771245474
1962,Sustainability,G,E,positive,Outcome,0.9239543581114488
1963,Edukasi masyarakat dan pemberantasan hoaks,S,E,positive,Action,0.4425285454964012
1964,Corporate Mission,S,E,Positif,Commitment,0.1421929217615655
1965,laba tahun berjalan,E,G,positive,Commitment,0.478299127417228
1966,Employee training and development,S,E,Positif,Action,0.966861176117779
1967,"Environmental Management, environmental management",G,G,neutral,Commitment,0.15614542507208262
1968,corporate strategy,E,E,positive,Commitment,0.8723551012393198
1969,Energy Efficiency,G,E,positive,Commitment,0.6781330650989572
1970,Sustainability Commitment,S,S,neutral,Outcome,0.4388100495412737
1971,Perencanaan kota berkelanjutan,E,S,positive,Commitment,0.10212904933507716
1972,Business Competition Ethics,G,S,positive,"Action, Commitment",0.3036606655458981
1973,employee integrity agreements,E,S,positive,Outcome,0.5090249338989102
1974,General sustainability commitment,E,G,positive,Action,0.4493974769081396
1975,ESG risk management,"E, G",E,positive,Action,0.32052646133281215
1976,Pengelolaan Limbah,E,G,positive,Outcome,0.9939860518398357
1977,Construction pipeline,E,S,positive,"Action, Commitment",0.38146616074109274
1978,Market Position,G,S,positive,Commitment,0.13015484546595002
1979,product quality and safety,S,G,positive,"Action, Innovation, Outcome",0.6761508893452066
1980,MSME finance,G,E,positive,Commitment,0.6633950399770543
1981,sustainability ratings,E,S,positive,Action,0.3554144927854028
1982,Sustainable Operations,E,E,neutral,Outcome,0.8945755268869223
1983,Emisi Gas Rumah Kaca,E,G,Positive,Action,0.009309140657505988
1984,Gender Diversity,S,G,positive,Commitment,0.3660839818837238
1985,commitment to sustainable development,G,G,positive,"Commitment, Outcome",0.474495973045164
1986,Corporate Social Responsibility,E,S,positive,Commitment,0.43363568227301863
1987,ESG Materiality Review,E,S,positive,Commitment,0.6200540000428857
1988,Operational Efficiency,G,E,neutral,Commitment,0.9927725435947597
1989,Innovation,E,E,neutral,"Outcome, outcome",0.3709271818373059
1990,Renewable Energy,E,G,positive,Action,0.6495505612636272
1991,Laporan keberlanjutan sebagai alat transparansi dan pembelajaran,S,E,POSITIVE,Outcome,0.5775561188877777
1992,Occupational Health and Safety,E,S,positive,Action,0.6458486250288467
1993,Customer Service,E,S,positive,Action,0.10846201224759167
1994,employee training,E,G,neutral,Commitment,0.28004754849182845
1995,Resource Efficiency,S,E,"Positive, positive",Outcome,0.6245331918451011
1996,Innovation and SDGs,E,E,positive,Action,0.7062690618050452
1997,Diversification,S,E,positive,Outcome,0.46520082357578163
1998,Transformasi organisasi menuju keberlanjutan dan inklusivitas,S,G,positive,Action,0.4840857074483733
1999,Market observation and strategic implementation,S,E,positive,Commitment,0.06265926901444863
2000,sustainable aquaculture,G,G,positive,Outcome,0.04708417028305434
2001,social LCA participation,S,E,positive,Commitment,0.6557796902308952
2002,Corporate Reputation,E,E,positive,Action,0.887360300300476
2003,"Life Cycle Assessment, life cycle assessment",G,G,positive,Risk,0.5037883695421798
2004,ESG risk rating,E,S,positive,Action,0.7400870955974806
2005,Environmentally friendly products and practices,S,S,positive,Commitment,0.9185605291403726
2006,corporate performance,E,S,positive,Disclosure,0.14166816419415507
2007,Customer Satisfaction,S,G,positive,Commitment,0.354481186415728
2008,food security initiatives,G,G,positive,Action,0.12244779287937857
2009,"Performance growth and digital readiness, performance growth and digital readiness",E,E,positive,Commitment,0.25375792068753367
2010,Workplace and community,E,E,positive,Commitment,0.7715028528285145
2011,Economic performance,E,G,positive,"Commitment, Outcome",0.5165653859335276
2012,company strategy,E,G,positive,"Outcome, outcome",0.15379021999698084
2013,Climate Change Control,G,E,positive,Commitment,0.4051096913324924
2014,Corporate Governance Philosophy,S,E,positive,Commitment,0.9932743320668365
2015,Kemitraan Sosial,G,E,Positive,Outcome,0.7104483793284244
2016,Corporate Commitment,G,E,neutral,Outcome,0.14787851638624994
2017,Data Protection Policy,E,S,"Positive, positive",Commitment,0.6370380618760582
2018,Mineral Reserves,E,Social,positive,Action,0.5021690796075902
2019,Sustainable Agriculture Support,E,E,positive,Outcome,0.5141530539203901
2020,Content Quality,E,S,positive,Commitment,0.3908402482646979
2021,Road Safety,E,E,positive,Outcome,0.6684354187668169
2022,commitment to sustainability,S,S,"Positive, positive",Outcome,0.2544294874130628
2023,community development,S,S,positive,Action,0.8908952989276832
2024,Artificial Intelligence,E,S,positive,Partnership,0.8548567091130064
2025,"GHG Emission Reduction, GHG emission reduction",E,S,positive,Action,0.10091085093052066
2026,sustainability,G,G,positive,Commitment,0.3506417596013308
2027,Occupational Health & Safety,G,S,positive,Action,0.4839272642190696
2028,HR Recognition,S,E,Neutral,Commitment,0.5831860339010089
2029,"Customer Satisfaction, customer satisfaction",ESG,G,positive,"Action, Outcome",0.5977080269980598
2030,retail and distribution business development,E,G,positive,Outcome,0.7964078986328595
2031,Kolaborasi dalam praktik sirkular untuk mengurangi jejak karbon,E,E,positive,commitment,0.31337566729872235
2032,"Net Zero Emissions Target, Net zero emissions target, net zero emissions target",S,E,Positive,Action,0.3745531620381134
2033,sustainability practices,S,E,"POSITIVE, positive",Action,0.35763995812229354
2034,Water Efficiency,E,E,Positive,Commitment,0.4549205545058167
2035,Environmental Costs,E,S,positive,Commitment,0.3387859909484999
2036,shareholder rights,S,E,Neutral,Commitment,0.5886329268210169
2037,Climate Impact,G,G,"Positive, positive",Outcome,0.2985302475868443
2038,Clean Water Access,S,S,positive,Action,0.7735709421175901
2039,Media Portfolio Synergy,E,E,positive,Commitment,0.9574179426426602
2040,Human Capital Management,E,G,Positive,Action,0.7253874060744423
2041,Safety Performance,S,E,positive,Outcome,0.21266689650051596
2042,financial strategy,G,E,positive,Commitment,0.12602600212211834
2043,water resource management,G,G,positive,Action,0.28130225434803746
2044,Positive Performance Commitment,E,S,positive,Outcome,0.433614619197662
2045,Sustainable Supply Chain,G,E,positive,Action,0.8039689690780033
2046,Climate Change,G,E,Positive,Action,0.8078922932593376
2047,sustainable development goals,G,E,positive,Commitment,0.4248413734334193
2048,green portfolio size and growth,E,E,Positive,Action,0.018629634811669682
2049,market alignment strategy,G,S,positive,Action,0.0822066715367642
2050,Carbon footprint reduction,S,S,positive,Commitment,0.39823250770007
2051,Sustainable Finance Initiatives,E,E,positive,Outcome,0.5081902960139639
2052,ESG Ratings Performance,E,S,positive,Risk,0.8974699922216387
2053,Government Collaboration for Media Literacy,E,G,positive,Risk,0.15634328607439074
2054,Positive Impact,E,E,positive,Outcome,0.3639068869925297
2055,employee training and development,"E, G",S,positive,Background,0.7733777440220654
2056,Climate Resilience,G,E,positive,Action,0.8538709617741675
2057,CSR Fund Utilization,S,E,positive,Commitment,0.5187698661251375
2058,Sustainability Pillars,E,S,"Positive, positive","Commitment, Outcome",0.926107523704278
2059,Sustainability Commitment,G,G,positive,"Factual, Outcome",0.7253744380349614
2060,"partnerships for digital equity, partnerships for digital inclusion",S,G,positive,Commitment,0.574754771017873
2061,Gender Equality,E,S,neutral,Commitment,0.9786338400018597
2062,sustainability strategy,G,E,positive,Commitment,0.5936441507601539
2063,Poverty reduction and community development,E,E,"Positive, positive",Commitment,0.004895977707089716
2064,ESG Implementation,E,E,positive,Action,0.4190632071239426
2065,water management,E,G,"Positive, positive",Commitment,0.31224030577386097
2066,"ESG Integration, ESG integration",E,E,neutral,Commitment,0.757280688755148
2067,Business transformation and portfolio diversification,E,E,positive,"Action, Commitment",0.5253592940051307
2068,broad access to content,G,G,positive,Action,0.23936121529000787
2069,Media Portfolio Synergies,E,E,positive,Action,0.9191694776166581
2070,Komitmen perusahaan terhadap keberlanjutan,S,S,positive,Action,0.061566078002557645
2071,Target netral karbon 2030,E,G,positive,Commitment,0.5458329841728786
2072,Sustainable Business,E,E,"Positive, positive",Outcome,0.6136446223856464
2073,market position,"E, S",G,positive,Outcome,0.9088732946610731
2074,Digital transformation and system modernization,G,"E, S",positive,Action,0.4170839988151024
2075,Autonomous Safety Features,E,S,"Positive, positive",Outcome,0.6142141149544847
2076,"Report Assurance, report assurance",E,E,neutral,Action,0.034385587693833375
2077,High-Quality Proteins,S,S,positive,Action,0.7618143296161813
2078,Corporate Governance,E,S,positive,Action,0.22957571335352944
2079,Extended Producer Responsibility (EPR),E,S,positive,Action,0.3134855777566369
2080,Innovation in Retail Experience,E,S,negative,Action,0.19101396059879883
2081,compliance with regulations,G,S,positive,Commitment,0.24499842628922364
2082,Labor Practices,G,G,neutral,Outcome,0.46414391994000903
2083,Sustainability Reporting,E,S,positive,Commitment,0.8451755034316214
2084,Expansion,E,E,"Positive, positive",Commitment,0.10083856351566689
2085,workplace culture,E,E,positive,Commitment,0.9662150113372474
2086,Emisi Karbon,G,E,positive,Commitment,0.6997963188663906
2087,Employee Engagement,E,E,positive,Assessment,0.6774172403166128
2088,Data Privacy,E,E,positive,"Action, Initiative",0.8155599348041603
2089,Food Safety,E,S,Positive,Commitment,0.09509594662323284
2090,SDGs Strategy,S,E,positive,Outcome,0.23884256002331505
2091,market presence,G,E,positive,Issue,0.3563627800338849
2092,Business Cooperation,"E, E/S/G, G, S",E,positive,Action,0.6085811409918471
2093,Resource duplication minimization,E,E,positive,Outcome,0.7104898833730341
2094,MSME partnerships,G,S,neutral,Commitment,0.7786693901459588
2095,Environmental Initiatives,"E, G",E,positive,Outcome,0.13531129354930738
2096,Environmental Responsibility,E,S,positive,"Action, action",0.9211474877278675
2097,LCA sosial program kemitraan ayam,E,G,positive,Outcome,0.10563921746606098
2098,Long-term transformation program,E,E,positive,"Action, Initiative",0.6202939944032058
2099,competition,E,G,positive,Commitment,0.6398710544579358
2100,Renewable Energy Adoption,ESG,G,negative,Action,0.7312326072990593
2101,Corporate Values,S,E,"Positive, positive",Commitment,0.9832472452359137
2102,Strategic Support,S,S,positive,Commitment,0.052823249378373016
2103,nilai pemegang saham,E,E,positive,Commitment,0.2165332602050568
2104,"None, Reporting",E,E,neutral,Outcome,0.9311554211213062
2105,social life cycle assessment,G,S,positive,Outcome,0.12088579596394278
2106,Environmental Management System Implementation,S,E,positive,Commitment,0.9498738830170234
2107,Environmental Initiatives,G,S,positive,Action,0.07956618490218059
2108,"Long-term Sustainability, long-term sustainability",E,G,positive,"Outcome, action",0.9889762787548948
2109,Innovation,S,E,positive,Commitment,0.6459167813465904
2110,"Climate Targets, climate targets",G,S,positive,Commitment,0.4555033297886212
2111,Community Support,E,E,positive,Comparative,0.4281092763743184
2112,"Integrated Risk Management, integrated risk management",E,S,positive,Commitment,0.9111074290109104
2113,financed emissions disclosure,E,G,positive,Commitment,0.9667265620173263
2114,Safety Performance,"E, G",E,positive,Outcome,0.6637379950700485
2115,"Performance Improvement, performance improvement",E,G,positive,Action,0.7078784078765357
2116,Kinerja Lingkungan,G,S,positive,Outcome,0.9570202478680699
2117,Assurance and Verification,E,E,positive,Outcome,0.4633635287802561
2118,Farmer Partnership,E,E,positive,Commitment,0.34957254449649433
2119,Education,S,E,"Positive, positive",Action,0.9653332514341307
2120,Other,S,Governance,positive,Outcome,0.6236268459874974
2121,Credit Risk Management,E,G,positive,"Commitment, commitment",0.6236972904432276
2122,Environmental Certification,G,E,positive,Action,0.13289524506772088
2123,Environmental Performance Rating (PROPER),E,G,positive,Action,0.8619342001845225
2124,environmental and social contribution,S,S,positive,Action,0.5169221672051878
2125,SDG Contribution,S,E,positive,Outcome,0.12705075276237532
2126,Market Position,S,E,Positive,Outcome,0.7865045706804477
2127,future commitment,S,S,neutral,Outcome,0.6368013728405193
2128,External Challenges,E,G,positive,Commitment,0.534874411091657
2129,Ownership Structure,E,G,neutral,Outcome,0.3412755629062103
2130,Occupational Health & Safety,G,E,positive,Improvement,0.8912277980993324
2131,Industry Collaboration,E,E,positive,Descriptive,0.7460977098971092
2132,"Corporate Governance, corporate governance",E,E,positive,Commitment,0.48112203455427194
2133,"Market Leadership in Mobile Phone Distribution, market leadership in mobile phone distribution",S,E,positive,Action,0.6508699916774592
2134,advanced technology adoption,S,E,positive,Innovation,0.1395501412463791
2135,Innovation,G,S,neutral,Commitment,0.9977093899759736
2136,ISPO Certification Compliance,S,E,positive,Outcome,0.2305836214539061
2137,"Responsible Business Practices, Responsible business practices",ESG,G,positive,Outcome,0.04011846658012663
2138,Penyediaan konten media bermakna dan edukatif,E,G,neutral,Commitment,0.7617919402834175
2139,Product Innovation Strategy,G,S,positive,Action,0.2676929984488987
2140,"responsible environmental management, social responsibility, governance standards",G,E,neutral,Outcome,0.09773199693893797
2141,employee health and safety,S,E,positive,Action,0.8927544287653664
2142,Occupational Safety,E,E,positive,"Commitment, Outcome",0.2770366958682293
2143,Environmental impact minimization,G,S,Positive,Commitment,0.7870692843862022
2144,"Distribution Network, distribution network",G,E,positive,Action,0.35016556605260485
2145,Optimizing company performance and competitiveness through ERP migration,E,E,"Positive, positive","Action, Strategy",0.702863300518067
2146,sustainability as foundation,G,G,positive,Outcome,0.5761527687430458
2147,"Rainwater Harvesting, rainwater harvesting",G,G,positive,Commitment,0.14150769780988592
2148,Community Nutrition Program,G,E,positive,Action,0.46144095653732076
2149,pencapaian kinerja,E,G,positive,Outcome,0.9147295312684873
2150,Awards,S,S,positive,Outcome,0.016411341550540692
2151,Credit risk assessment using four-eyes principles,S,G,neutral,Outcome,0.9696068746090739
2152,Sustainable Product Offerings,S,E,positive,Action,0.5898789029726693
2153,Injury severity rate,E,E,positive,Commitment,0.4754625462198979
2154,Human Rights,E,S,Neutral,Initiative,0.8131591958578503
2155,Regulatory compliance and corporate governance,E,E,positive,Action,0.638782973920113
2156,Supporting the government's Net-Zero Emission target,E,S,positive,Outcome,0.8197003264745119
2157,Strategi Keberlanjutan,E,S,positive,Outcome,0.18403903544514788
2158,Penerapan prinsip keberlanjutan untuk menciptakan dampak positif,G,E,positive,Commitment,0.22402205379966822
2159,Community Development,E,E,positive,Outcome,0.040942743231237255
2160,"Digital Platform Enhancement, digital platform enhancement",S,G,positive,Challenge,0.04407637334923542
2161,Competitive Challenges,G,S,positive,Action,0.04389812461536946
2162,"Biodiversity Conservation, biodiversity conservation",E,G,"Positive, positive",Action,0.7363429758246478
2163,climate change risk mitigation,E,E,positive,Commitment,0.0700650664696213
2164,Education Quality,G,E,Positive,Commitment,0.47272449733905286
2165,"Manufacturing Collaboration, manufacturing collaboration",E,G,positive,Commitment,0.8593967481659197
2166,Governance Monitoring,G,S,positive,Supportive,0.12595610475603358
2167,Risk Management,G,ESG,positive,Action,0.3955072425907046
2168,Community Contribution,E,S,positive,Commitment,0.39923320206528656
