aspect,records,mapped_to_ontology,suggested_path
keterlibatan pemangku kepentingan,2,False,
inisiatif energi terbarukan,2,True,GRI 305 Emissions / TCFD Climate -> inisiatif energi terbarukan
climate risk,2,True,GRI 305 Emissions / TCFD Climate -> climate risk
tax governance,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> tax governance
optimalisasi teknologi untuk lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> optimalisasi teknologi untuk lingkungan
kepatuhan standar gri,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan standar gri
sistem pengendalian internal,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> sistem pengendalian internal
standar mutu dan keselamatan kerja,2,True,GRI 401-404 Employment and Training -> standar mutu dan keselamatan kerja
praktik ketenagakerjaan,2,False,
sustainability commitment,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability commitment
penanaman pohon,2,False,
kinerja keuangan dan non-keuangan,2,True,GRI 201 Economic Performance -> kinerja keuangan dan non-keuangan
pengungkapan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pengungkapan
produk ramah lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> produk ramah lingkungan
esg-overview,2,False,
reklamasi lahan,2,True,GRI 304 Biodiversity -> reklamasi lahan
penghargaan keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> penghargaan keberlanjutan
pengadaan berkelanjutan,2,False,
praktik sosial dan ham,2,True,GRI 401-404 Employment and Training -> praktik sosial dan ham
esg-framework,2,False,
kebijakan esg,2,False,
integrasi esg dalam strategi,2,False,
peluang efisiensi,2,False,
risiko regulasi,2,False,
risiko sosial,2,True,GRI 413 Local Communities -> risiko sosial
efisiensi energi,2,True,GRI 305 Emissions / TCFD Climate -> efisiensi energi
pengaduan lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> pengaduan lingkungan
mitigasi perubahan iklim,2,True,GRI 305 Emissions / TCFD Climate -> mitigasi perubahan iklim
etika bisnis,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> etika bisnis
budaya tjsl,2,False,
manajemen tenaga kerja,2,True,GRI 401-404 Employment and Training -> manajemen tenaga kerja
distribusi nilai ekonomi,2,True,GRI 201 Economic Performance -> distribusi nilai ekonomi
mekanisme pengaduan,2,False,
kesejahteraan komunitas,2,True,GRI 413 Local Communities -> kesejahteraan komunitas
fokus laporan keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> fokus laporan keberlanjutan
program alfability,2,False,
pengeluaran lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> pengeluaran lingkungan
materialitas,2,False,
penghargaan lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> penghargaan lingkungan
sertifikasi k3,2,True,GRI 401-404 Employment and Training -> sertifikasi k3
program komunitas,2,True,GRI 413 Local Communities -> program komunitas
kualitas data,2,True,Governance / Data and Technology -> kualitas data
pengelolaan energi dan emisi,2,True,GRI 305 Emissions / TCFD Climate -> pengelolaan energi dan emisi
ruang lingkup laporan,2,False,
pencapaian bisnis,2,False,
penghargaan esg,2,False,
tantangan bisnis,2,False,
pengembangan sumber daya manusia,2,False,
kinerja keberlanjutan esg,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kinerja keberlanjutan esg
sustainable growth,2,False,
sustainability contribution,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability contribution
sustainable value creation,2,False,
kebijakan perlindungan pelapor,2,False,
efisiensi energi dan pengurangan jejak karbon,2,True,GRI 305 Emissions / TCFD Climate -> efisiensi energi dan pengurangan jejak karbon
kepatuhan regulasi dan integrasi esg,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan regulasi dan integrasi esg
peran direksi dalam strategi keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> peran direksi dalam strategi keberlanjutan
implementasi strategi keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> implementasi strategi keberlanjutan
budaya kerja dan akuntabilitas,2,False,
kepatuhan regulasi pelaporan keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kepatuhan regulasi pelaporan keberlanjutan
prospek bisnis,2,False,
emisi grk,2,True,GRI 305 Emissions / TCFD Climate -> emisi grk
keberlanjutan usaha,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> keberlanjutan usaha
keandalan solusi,2,False,
kolaborasi strategis,2,True,GRI 401-404 Employment and Training -> kolaborasi strategis
tata kelola keuangan haji,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> tata kelola keuangan haji
komitmen pelaporan rakb,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> komitmen pelaporan rakb
pembiayaan hijau,2,False,
literasi dan inklusi keuangan,2,True,GRI 201 Economic Performance -> literasi dan inklusi keuangan
efisiensi operasional,2,False,
strategi omnichannel,2,False,
target net-zero,2,False,
kerangka pelaporan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kerangka pelaporan
kinerja sosial,2,True,GRI 413 Local Communities -> kinerja sosial
forward_looking,2,False,
governance_oversight,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> governance_oversight
business_strategy,2,False,
kegiatan ramah lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> kegiatan ramah lingkungan
jangkauan operasional,2,False,
tanggung jawab lingkungan dan sosial,2,True,GRI 306 Waste / GRI 303 Water -> tanggung jawab lingkungan dan sosial
esg commitment,2,False,
puncak perjalanan bisnis,2,False,
komitmen keuangan berkelanjutan,2,True,GRI 201 Economic Performance -> komitmen keuangan berkelanjutan
sustainability_contribution,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability_contribution
pengungkapan ruang lingkup esg,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pengungkapan ruang lingkup esg
pengembangan kompetensi karyawan,2,True,GRI 401-404 Employment and Training -> pengembangan kompetensi karyawan
pertumbuhan berkelanjutan dan kontribusi stakeholder,2,True,GRI 413 Local Communities -> pertumbuhan berkelanjutan dan kontribusi stakeholder
fokus pelaporan esg,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> fokus pelaporan esg
kebijakan sumber daya manusia,2,False,
pengembangan kepemimpinan,2,False,
standar keselamatan kerja,2,True,GRI 401-404 Employment and Training -> standar keselamatan kerja
pengurangan intensitas emisi,2,True,GRI 305 Emissions / TCFD Climate -> pengurangan intensitas emisi
pengelolaan emisi,2,True,GRI 305 Emissions / TCFD Climate -> pengelolaan emisi
scope,2,True,GRI 305 Emissions / TCFD Climate -> scope
strategi bisnis jangka panjang,2,False,
kinerja operasional dan keuangan,2,True,GRI 201 Economic Performance -> kinerja operasional dan keuangan
compliance,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> compliance
risiko iklim rantai pasok,2,True,GRI 305 Emissions / TCFD Climate -> risiko iklim rantai pasok
perjalanan bisnis,2,False,
pelatihan kesadaran keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pelatihan kesadaran keberlanjutan
masa depan berkelanjutan,2,False,
esg-scope,2,True,GRI 305 Emissions / TCFD Climate -> esg-scope
sustainability-reporting,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability-reporting
porsi energi terbarukan,2,True,GRI 305 Emissions / TCFD Climate -> porsi energi terbarukan
keberagaman manajemen,2,False,
whistleblowing system,2,False,
pemberdayaan komunitas,2,True,GRI 413 Local Communities -> pemberdayaan komunitas
konteks keberlanjutan,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> konteks keberlanjutan
esg-general,2,False,
"environmental, social",2,False,
pengungkapan rakb,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pengungkapan rakb
company_milestone,2,False,
social_environmental_contribution,2,False,
kepatuhan standar lingkungan,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan standar lingkungan
inklusi dan literasi keuangan syariah,2,True,GRI 201 Economic Performance -> inklusi dan literasi keuangan syariah
optimalisasi teknologi digital,2,True,Governance / Data and Technology -> optimalisasi teknologi digital
ruang lingkup esg,2,False,
pengungkapan risiko operasional,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> pengungkapan risiko operasional
penilaian pemasok,2,True,GRI 308/414 Supplier Assessment -> penilaian pemasok
lingkup pelaporan esg,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> lingkup pelaporan esg
transformasi digital,2,True,Governance / Data and Technology -> transformasi digital
standar internasional,2,False,
ketahanan organisasi,2,False,
cakupuan laporan,2,False,
penggunaan esg,2,False,
sertifikasi keamanan informasi,2,False,
tata kelola strategis,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> tata kelola strategis
pedoman tata kelola,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> pedoman tata kelola
praktik ramah lingkungan,2,True,GRI 306 Waste / GRI 303 Water -> praktik ramah lingkungan
penerapan keuangan berkelanjutan,2,True,GRI 201 Economic Performance -> penerapan keuangan berkelanjutan
forward-looking-statement,2,False,
financial-performance,2,True,GRI 201 Economic Performance -> financial-performance
business milestone,2,False,
sustainability reporting,2,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability reporting
tema korporat,2,False,
governance_disclosure,2,True,GRI 205 Anti-corruption / GRI 2 Governance -> governance_disclosure
optimasi lingkungan,1,True,GRI 306 Waste / GRI 303 Water -> optimasi lingkungan
teknologi ramah lingkungan,1,True,GRI 306 Waste / GRI 303 Water -> teknologi ramah lingkungan
kerja sama energi bersih,1,True,GRI 305 Emissions / TCFD Climate -> kerja sama energi bersih
komitmen net zero,1,True,GRI 305 Emissions / TCFD Climate -> komitmen net zero
roadmap karbon,1,True,GRI 305 Emissions / TCFD Climate -> roadmap karbon
pendekatan karbon,1,True,GRI 305 Emissions / TCFD Climate -> pendekatan karbon
definisi konflik kepentingan,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> definisi konflik kepentingan
kebijakan konflik kepentingan,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> kebijakan konflik kepentingan
penolakan korupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> penolakan korupsi
implementasi antikorupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> implementasi antikorupsi
definisi hukum korupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> definisi hukum korupsi
kebijakan antigratifikasi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> kebijakan antigratifikasi
kebijakan antikorupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> kebijakan antikorupsi
sertifikasi smap,1,False,
pedoman smap,1,False,
pemetaan risiko korupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> pemetaan risiko korupsi
identifikasi risiko korupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> identifikasi risiko korupsi
mitigasi korupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> mitigasi korupsi
komitmen net zero emission,1,True,GRI 305 Emissions / TCFD Climate -> komitmen net zero emission
komitmen bisnis berkelanjutan,1,False,
implementasi eco-mechanized mining,1,False,
sinergi pengembangan energi bersih,1,True,GRI 305 Emissions / TCFD Climate -> sinergi pengembangan energi bersih
komitmen net zero emission 2060,1,True,GRI 305 Emissions / TCFD Climate -> komitmen net zero emission 2060
roadmap manajemen karbon 2050,1,True,GRI 305 Emissions / TCFD Climate -> roadmap manajemen karbon 2050
pendekatan manajemen karbon,1,True,GRI 305 Emissions / TCFD Climate -> pendekatan manajemen karbon
sosialisasi kebijakan antikorupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> sosialisasi kebijakan antikorupsi
sosialisasi antikorupsi untuk komisaris dan direksi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> sosialisasi antikorupsi untuk komisaris dan direksi
sosialisasi antikorupsi untuk karyawan,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> sosialisasi antikorupsi untuk karyawan
sosialisasi antikorupsi untuk vendor,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> sosialisasi antikorupsi untuk vendor
pelatihan antikorupsi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> pelatihan antikorupsi
pelatihan antikorupsi untuk komisaris dan direksi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> pelatihan antikorupsi untuk komisaris dan direksi
pelatihan antikorupsi untuk karyawan,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> pelatihan antikorupsi untuk karyawan
economic resilience,1,True,GRI 201 Economic Performance -> economic resilience
economic growth,1,True,GRI 201 Economic Performance -> economic growth
strategic adaptation,1,False,
sustainable expansion,1,False,
climate-strategy,1,True,GRI 305 Emissions / TCFD Climate -> climate-strategy
integrated natural resource management,1,False,
biodiversity mitigation actions,1,True,GRI 304 Biodiversity -> biodiversity mitigation actions
mencegah emisi grk dan pengelolaan limbah berkelanjutan,1,True,GRI 305 Emissions / TCFD Climate -> mencegah emisi grk dan pengelolaan limbah berkelanjutan
penurunan emisi grk scope 1 akibat pengurangan penggunaan bahan bakar dan penghentian produksi,1,True,GRI 305 Emissions / TCFD Climate -> penurunan emisi grk scope 1 akibat pengurangan penggunaan bahan bakar dan penghentian produksi
penurunan emisi grk scope 1 grup,1,True,GRI 305 Emissions / TCFD Climate -> penurunan emisi grk scope 1 grup
faktor pendukung penurunan emisi: peningkatan penggunaan biosolar,1,True,GRI 305 Emissions / TCFD Climate -> faktor pendukung penurunan emisi: peningkatan penggunaan biosolar
pemantauan intensitas emisi grk untuk manajemen kinerja lingkungan,1,True,GRI 305 Emissions / TCFD Climate -> pemantauan intensitas emisi grk untuk manajemen kinerja lingkungan
metode perhitungan intensitas emisi grk,1,True,GRI 305 Emissions / TCFD Climate -> metode perhitungan intensitas emisi grk
data emisi grk untuk 2023-2025,1,True,GRI 305 Emissions / TCFD Climate -> data emisi grk untuk 2023-2025
alasan penurunan signifikan emisi grk tahun 2025,1,True,GRI 305 Emissions / TCFD Climate -> alasan penurunan signifikan emisi grk tahun 2025
energy efficiency,1,True,GRI 305 Emissions / TCFD Climate -> energy efficiency
fuel transition & low-emission technology,1,True,GRI 306 Waste / GRI 303 Water -> fuel transition & low-emission technology
operational optimization & asset management,1,False,
innovation & technology development for emission reduction,1,True,GRI 306 Waste / GRI 303 Water -> innovation & technology development for emission reduction
energy transition through solar power installation,1,True,GRI 305 Emissions / TCFD Climate -> energy transition through solar power installation
air quality monitoring & emissions compliance,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> air quality monitoring & emissions compliance
esg committee oversight,1,False,
emissions reduction via msli 009 methodology,1,True,GRI 306 Waste / GRI 303 Water -> emissions reduction via msli 009 methodology
energy intensity ratio,1,True,GRI 305 Emissions / TCFD Climate -> energy intensity ratio
women in board of commissioners,1,False,
employee integrity pledge,1,True,GRI 401-404 Employment and Training -> employee integrity pledge
truck lifespan adjustment,1,False,
waste management & land reclamation,1,True,GRI 306 Waste / GRI 303 Water -> waste management & land reclamation
solar power system projected savings,1,False,
air quality monitoring reporting & compliance,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> air quality monitoring reporting & compliance
continuous improvement for emission reduction,1,True,GRI 306 Waste / GRI 303 Water -> continuous improvement for emission reduction
plts development with cbess,1,False,
waste management & land reclamation as integrated approach,1,True,GRI 306 Waste / GRI 303 Water -> waste management & land reclamation as integrated approach
solar power system projected savings & commitment,1,False,
dampak penambangan terhadap spesies,1,False,
sejarah penambangan,1,False,
sifat sementara dampak penambangan,1,False,
reklamasi dan revegetasi untuk keanekaragaman hayati,1,True,GRI 304 Biodiversity -> reklamasi dan revegetasi untuk keanekaragaman hayati
pengembangan pengukuran biodiversitas,1,False,
luas wiup,1,False,
pembukaan lahan,1,True,GRI 304 Biodiversity -> pembukaan lahan
luas lahan direklamasi,1,True,GRI 304 Biodiversity -> luas lahan direklamasi
rehabilitasi das,1,False,
lahan dalam pengelolaan,1,True,GRI 304 Biodiversity -> lahan dalam pengelolaan
capaian reklamasi 2025,1,False,
keterlambatan reklamasi,1,False,
perencanaan reklamasi,1,False,
sharing progress with stakeholders,1,True,GRI 413 Local Communities -> sharing progress with stakeholders
report based on materiality assessment,1,False,
terminology explanation,1,False,
reporting period and strategic approach,1,False,
environmental performance,1,False,
renewable energy initiative,1,True,GRI 305 Emissions / TCFD Climate -> renewable energy initiative
significant air emissions,1,True,GRI 306 Waste / GRI 303 Water -> significant air emissions
climate change mitigation and energy efficiency,1,True,GRI 305 Emissions / TCFD Climate -> climate change mitigation and energy efficiency
"e,s,g",1,False,
environmental management,1,False,
water resource management,1,True,GRI 306 Waste / GRI 303 Water -> water resource management
water stewardship,1,True,GRI 306 Waste / GRI 303 Water -> water stewardship
water consumption accounting,1,True,GRI 306 Waste / GRI 303 Water -> water consumption accounting
data management,1,True,Governance / Data and Technology -> data management
resource efficiency metrics,1,False,
human capital development,1,True,GRI 401-404 Employment and Training -> human capital development
ethical culture & compliance,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> ethical culture & compliance
esg governance structure,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> esg governance structure
b40 biodiesel implementation,1,False,
refrigerant transition,1,False,
operational route optimization,1,False,
asset lifespan adjustment,1,False,
air quality monitoring,1,True,GRI 306 Waste / GRI 303 Water -> air quality monitoring
solar power plant development,1,False,
on-grid solar power installation,1,False,
report theme statement,1,False,
company history,1,False,
values and principles,1,False,
scope 1 & 2 emissions decrease,1,True,GRI 305 Emissions / TCFD Climate -> scope 1 & 2 emissions decrease
percentage of women on board of commissioners,1,False,
operational proximity to conservation areas,1,False,
biodiversity impact management,1,True,GRI 304 Biodiversity -> biodiversity impact management
pembenahan menyeluruh,1,False,
nilai tambah berkelanjutan dan manfaat pemangku kepentingan,1,False,
restrukturisasi utang dan peluang berkelanjutan,1,False,
penyusunan stream penyebatan keuangan dan sinergi lingkungan,1,True,GRI 306 Waste / GRI 303 Water -> penyusunan stream penyebatan keuangan dan sinergi lingkungan
kinerja keberlanjutan aspek lingkungan dan sosial,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> kinerja keberlanjutan aspek lingkungan dan sosial
infrastruktur berkualitas,1,False,
tanggung jawab laporan keberlanjutan,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> tanggung jawab laporan keberlanjutan
komitmen terhadap keberlanjutan dan transformasi bisnis,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> komitmen terhadap keberlanjutan dan transformasi bisnis
menciptakan nilai tambah berkelanjutan dan manfaat bagi pemangku kepentingan,1,False,
penguatan fondasi keuangan melalui restrukturisasi utang,1,True,GRI 201 Economic Performance -> penguatan fondasi keuangan melalui restrukturisasi utang
solidaritas sebagai kunci kesadaran dampak lingkungan dan sosial,1,True,GRI 306 Waste / GRI 303 Water -> solidaritas sebagai kunci kesadaran dampak lingkungan dan sosial
pencapaian positif dan komitmen terhadap infrastruktur,1,False,
optimasi dan efisiensi biaya untuk daya saing,1,False,
menjaga sinergi budaya dan lingkungan,1,True,GRI 306 Waste / GRI 303 Water -> menjaga sinergi budaya dan lingkungan
"pencapaian kinerja keberlanjutan di bidang ekonomi, lingkungan, dan sosial",1,True,"GRI 2 General Disclosures / GRI 3 Material Topics -> pencapaian kinerja keberlanjutan di bidang ekonomi, lingkungan, dan sosial"
"fokus kinerja keberlanjutan pada distribusi nilai ekonomi, pengurangan dampak lingkungan, dan pemberdayaan masyarakat",1,True,"GRI 2 General Disclosures / GRI 3 Material Topics -> fokus kinerja keberlanjutan pada distribusi nilai ekonomi, pengurangan dampak lingkungan, dan pemberdayaan masyarakat"
pertumbuhan bisnis berkelanjutan di masa depan,1,False,
peningkatan nilai kontrak baru,1,False,
penghargaan esg untuk energi,1,True,GRI 305 Emissions / TCFD Climate -> penghargaan esg untuk energi
metrics,1,False,
environmental sustainability and climate governance,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> environmental sustainability and climate governance
financial inclusion for underbanked and umkm,1,True,GRI 201 Economic Performance -> financial inclusion for underbanked and umkm
women's leadership and empowerment,1,False,
environmental responsibility,1,False,
energy consumption and efficiency,1,True,GRI 305 Emissions / TCFD Climate -> energy consumption and efficiency
biodiversity and climate action,1,True,GRI 305 Emissions / TCFD Climate -> biodiversity and climate action
waste reduction,1,True,GRI 306 Waste / GRI 303 Water -> waste reduction
gender diversity in leadership,1,False,
employee training,1,True,GRI 401-404 Employment and Training -> employee training
csr funding,1,True,GRI 413 Local Communities -> csr funding
financial literacy programs,1,True,GRI 201 Economic Performance -> financial literacy programs
financial literacy participation,1,True,GRI 201 Economic Performance -> financial literacy participation
accessibility and financial inclusion,1,True,GRI 201 Economic Performance -> accessibility and financial inclusion
data security and customer trust,1,True,Governance / Data and Technology -> data security and customer trust
biodiversity findings,1,True,GRI 304 Biodiversity -> biodiversity findings
land rehabilitation program,1,True,GRI 304 Biodiversity -> land rehabilitation program
hazardous waste management,1,True,GRI 306 Waste / GRI 303 Water -> hazardous waste management
water discharge,1,True,GRI 306 Waste / GRI 303 Water -> water discharge
employment,1,False,
"governance, anti-bribery",1,True,"GRI 205 Anti-corruption / GRI 2 Governance -> governance, anti-bribery"
"governance, ethics",1,True,"GRI 205 Anti-corruption / GRI 2 Governance -> governance, ethics"
water quality management,1,True,GRI 306 Waste / GRI 303 Water -> water quality management
commitment to environmental impact minimization,1,False,
waste data management process,1,True,GRI 306 Waste / GRI 303 Water -> waste data management process
environmental performance evaluation,1,False,
hazardous waste segregation and control,1,True,GRI 306 Waste / GRI 303 Water -> hazardous waste segregation and control
pollution prevention measures,1,True,GRI 306 Waste / GRI 303 Water -> pollution prevention measures
scope 1 & 2 emissions reduction,1,True,GRI 305 Emissions / TCFD Climate -> scope 1 & 2 emissions reduction
used oil reuse for anfo,1,False,
anti-bribery management system,1,False,
ethics compliance,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> ethics compliance
local procurement,1,True,GRI 308/414 Supplier Assessment -> local procurement
tax payment,1,False,
royalties payment,1,False,
renewable energy adoption,1,True,GRI 305 Emissions / TCFD Climate -> renewable energy adoption
solar power plant operation,1,False,
solar energy initiatives,1,True,GRI 305 Emissions / TCFD Climate -> solar energy initiatives
solar pv generation,1,False,
cost savings from solar,1,False,
environmental benefits of solar,1,False,
emissions reduction by sector,1,True,GRI 306 Waste / GRI 303 Water -> emissions reduction by sector
water management policy,1,True,GRI 306 Waste / GRI 303 Water -> water management policy
legal compliance for water use,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> legal compliance for water use
limited surface water use,1,True,GRI 306 Waste / GRI 303 Water -> limited surface water use
reklamasi lahan pasca-tambang,1,True,GRI 304 Biodiversity -> reklamasi lahan pasca-tambang
pengelolaan limbah non-b3,1,True,GRI 306 Waste / GRI 303 Water -> pengelolaan limbah non-b3
pengelolaan limbah b3 di lini bisnis lenb,1,True,GRI 306 Waste / GRI 303 Water -> pengelolaan limbah b3 di lini bisnis lenb
pengelolaan oli bekas,1,False,
inisiatif pengurangan limbah,1,True,GRI 306 Waste / GRI 303 Water -> inisiatif pengurangan limbah
filterisasi oli pada alat berat,1,False,
pemanfaatan kembali solar bekas,1,False,
kolaborasi dengan bank sampah,1,True,GRI 306 Waste / GRI 303 Water -> kolaborasi dengan bank sampah
jam pelatihan karyawan,1,True,GRI 401-404 Employment and Training -> jam pelatihan karyawan
biaya pelatihan karyawan,1,True,GRI 401-404 Employment and Training -> biaya pelatihan karyawan
karyawan baru,1,True,GRI 401-404 Employment and Training -> karyawan baru
kepatuhan terhadap kode etik,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan terhadap kode etik
komite esg,1,False,
corporate governance and transparency,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> corporate governance and transparency
esg integration strategy,1,False,
sustainability values and aspirations,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability values and aspirations
commitment to sustainability integration,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> commitment to sustainability integration
environmental sustainability initiatives,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> environmental sustainability initiatives
financial inclusion and community empowerment,1,True,GRI 413 Local Communities -> financial inclusion and community empowerment
women empowerment and leadership,1,False,
prevention of forced labor and fair labor practices,1,True,GRI 306 Waste / GRI 303 Water -> prevention of forced labor and fair labor practices
prevention of child labor,1,True,GRI 401-404 Employment and Training -> prevention of child labor
compliance with minimum wage and fair pay,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> compliance with minimum wage and fair pay
safe and healthy work environment,1,False,
employee training and development,1,True,GRI 401-404 Employment and Training -> employee training and development
internal capacity building for sustainability,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> internal capacity building for sustainability
occupational health and safety,1,False,
impact of digital operations on communities,1,True,Governance / Data and Technology -> impact of digital operations on communities
community complaints on environmental issues,1,True,GRI 413 Local Communities -> community complaints on environmental issues
corporate social responsibility activities,1,False,
increase in csr funding,1,True,GRI 413 Local Communities -> increase in csr funding
nilai tambah berkelanjutan dan ketahanan bisnis,1,False,
strategi gcg,1,False,
pedoman gcg,1,False,
penerapan prinsip gcg,1,False,
badan tata kelola tertinggi,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> badan tata kelola tertinggi
implementasi tata kelola perusahaan,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> implementasi tata kelola perusahaan
penilaian gcg,1,False,
wastewater treatment for environmental standards,1,True,GRI 306 Waste / GRI 303 Water -> wastewater treatment for environmental standards
sedimentation pond for coal mining wastewater,1,True,GRI 306 Waste / GRI 303 Water -> sedimentation pond for coal mining wastewater
wastewater management for supporting activities using ipal,1,True,GRI 306 Waste / GRI 303 Water -> wastewater management for supporting activities using ipal
effluent quality monitoring,1,False,
testing parameters for water quality,1,True,GRI 306 Waste / GRI 303 Water -> testing parameters for water quality
compliance with wastewater regulations,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> compliance with wastewater regulations
water use monitoring with flow meters,1,True,GRI 306 Waste / GRI 303 Water -> water use monitoring with flow meters
consistent calculation methodology,1,False,
automatic wastewater monitoring system,1,True,GRI 306 Waste / GRI 303 Water -> automatic wastewater monitoring system
water scarcity assessment,1,True,GRI 306 Waste / GRI 303 Water -> water scarcity assessment
water resource management practices,1,True,GRI 306 Waste / GRI 303 Water -> water resource management practices
water collection for operational use,1,True,GRI 306 Waste / GRI 303 Water -> water collection for operational use
measurement methods for water intake,1,True,GRI 306 Waste / GRI 303 Water -> measurement methods for water intake
improvement of measurement recording,1,False,
impact of improvements on data,1,True,Governance / Data and Technology -> impact of improvements on data
future efforts for data improvement,1,True,Governance / Data and Technology -> future efforts for data improvement
water withdrawal data by source,1,True,GRI 306 Waste / GRI 303 Water -> water withdrawal data by source
business transformation and sustainable ecosystem,1,False,
restructuring and transformation for sustainable goals,1,False,
solidarity and awareness of environmental and social impacts,1,False,
penciptaan nilai berkelanjutan bagi pemangku kepentingan,1,False,
komitmen penerapan keberlanjutan,1,True,GRI 2 General Disclosures / GRI 3 Material Topics -> komitmen penerapan keberlanjutan
pembangunan fondasi gcg,1,False,
komposisi organ tata kelola,1,True,GRI 205 Anti-corruption / GRI 2 Governance -> komposisi organ tata kelola
employee integrity commitment,1,True,GRI 401-404 Employment and Training -> employee integrity commitment
operational material reuse,1,False,
women's environmental action,1,False,
operational efficiency study,1,False,
commitment to business transformation and sustainable ecosystem,1,False,
"outcome of transformation creating sustainable added value, business resilience, and stakeholder benefits",1,True,"GRI 413 Local Communities -> outcome of transformation creating sustainable added value, business resilience, and stakeholder benefits"
"sustainability efforts depend on innovation, operational efficiency, and stakeholder collaboration",1,True,"GRI 2 General Disclosures / GRI 3 Material Topics -> sustainability efforts depend on innovation, operational efficiency, and stakeholder collaboration"
