aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
dampak penambangan terhadap spesies,1,needs_review,average training hours per employee,Other,Human Capital,,GRI 401-404 Employment and Training -> average training hours per employee,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
sejarah penambangan,1,needs_review,employee training costs,Other,Human Capital,,GRI 401-404 Employment and Training -> employee training costs,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
sifat sementara dampak penambangan,1,needs_review,employee integrity pact signing,Other,Governance & Ethics,,GRI 401-404 Employment and Training -> employee integrity pact signing,Existing workforce mapping was normalized to the employment standard.
pengembangan pengukuran biodiversitas,1,needs_review,ecosystem protection and restoration,Other,Financial Sustainability,,Manual review -> ecosystem protection and restoration,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
luas wiup,1,needs_review,biodiversity monitoring,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity monitoring,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
rehabilitasi das,1,needs_review,restrukturisasi dan transformasi untuk tujuan berkelanjutan,Other,Financial Sustainability,,Manual review -> restrukturisasi dan transformasi untuk tujuan berkelanjutan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
capaian reklamasi 2025,1,needs_review,dampak lingkungan dan sosial,Other,Community Relations,,GRI 413 Local Communities -> dampak lingkungan dan sosial,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
keterlambatan reklamasi,1,needs_review,restrukturisasi untuk tujuan berkelanjutan,Other,Financial Sustainability,,Manual review -> restrukturisasi untuk tujuan berkelanjutan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
perencanaan reklamasi,1,needs_review,harapan mewujudkan komitmen keberlanjutan melalui solidaritas,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> harapan mewujudkan komitmen keberlanjutan melalui solidaritas,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
report based on materiality assessment,1,needs_review,data privacy and workplace safety,Other,Governance & Ethics,,Governance / Data and Technology -> data privacy and workplace safety,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
terminology explanation,1,needs_review,environmental commitment,Other,Financial Sustainability,,Manual review -> environmental commitment,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
reporting period and strategic approach,1,needs_review,biodiversity management award,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity management award,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
environmental performance,1,needs_review,emissions trend,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> emissions trend,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
"e,s,g",1,needs_review,water sources,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> water sources,"Water withdrawal, water management, and effluent topics map to GRI 303 Water and Effluents 2018."
environmental management,1,needs_review,penjualan bersih,Other,Financial Sustainability,,Manual review -> penjualan bersih,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
resource efficiency metrics,1,needs_review,laba bersih,Other,Financial Sustainability,,Manual review -> laba bersih,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
b40 biodiesel implementation,1,needs_review,pemasok lokal,Other,Supply Chain,,GRI 308/414 Supplier Assessment -> pemasok lokal,Supplier screening and sustainable supply-chain controls map to GRI 308 Supplier Environmental Assessment 2016.
refrigerant transition,1,needs_review,total karyawan,Other,Human Capital,,GRI 401-404 Employment and Training -> total karyawan,General workforce and employment wording map to GRI 401 Employment 2016.
operational route optimization,1,needs_review,pencegahan benturan kepentingan,Other,Financial Sustainability,,Manual review -> pencegahan benturan kepentingan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
asset lifespan adjustment,1,needs_review,independensi dewan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> independensi dewan,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
solar power plant development,1,needs_review,remunerasi berintegritas,Other,Governance & Ethics,,Manual review -> remunerasi berintegritas,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
on-grid solar power installation,1,needs_review,implementasi kode etik,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> implementasi kode etik,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
report theme statement,1,needs_review,kebijakan anti-suap,Other,Governance & Ethics,,GRI 205 Anti corruption 2016 -> kebijakan anti-suap,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
company history,1,needs_review,komitmen keberlanjutan bisnis,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> komitmen keberlanjutan bisnis,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
values and principles,1,needs_review,pembenahan tata kelola dan risiko,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pembenahan tata kelola dan risiko,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
percentage of women on board of commissioners,1,needs_review,restrukturisasi dan transformasi untuk keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> restrukturisasi dan transformasi untuk keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
operational proximity to conservation areas,1,needs_review,solidaritas sebagai prinsip keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> solidaritas sebagai prinsip keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pembenahan menyeluruh,1,needs_review,komitmen bertahap untuk keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> komitmen bertahap untuk keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
nilai tambah berkelanjutan dan manfaat pemangku kepentingan,1,needs_review,"sustainability performance covering economic, environmental, and social aspects",Other,Financial Sustainability,,"GRI 201 Economic Performance -> sustainability performance covering economic, environmental, and social aspects",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
restrukturisasi utang dan peluang berkelanjutan,1,needs_review,transformasi bisnis berkelanjutan,Other,Financial Sustainability,,Manual review -> transformasi bisnis berkelanjutan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
infrastruktur berkualitas,1,needs_review,sustainable value claim,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> sustainable value claim,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
menciptakan nilai tambah berkelanjutan dan manfaat bagi pemangku kepentingan,1,needs_review,acid mine drainage prevention,Other,Financial Sustainability,,Manual review -> acid mine drainage prevention,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pencapaian positif dan komitmen terhadap infrastruktur,1,needs_review,konsumsi bahan bakar,Other,Financial Sustainability,,Manual review -> konsumsi bahan bakar,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
optimasi dan efisiensi biaya untuk daya saing,1,needs_review,kepuasan pelanggan,Other,Financial Sustainability,,Manual review -> kepuasan pelanggan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pertumbuhan bisnis berkelanjutan di masa depan,1,needs_review,penandatanganan pakta integritas,Other,Governance & Ethics,,Governance / Data and Technology -> penandatanganan pakta integritas,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
peningkatan nilai kontrak baru,1,needs_review,jumlah pemasok lokal,Other,Supply Chain,,GRI 308/414 Supplier Assessment -> jumlah pemasok lokal,Supplier screening and sustainable supply-chain controls map to GRI 308 Supplier Environmental Assessment 2016.
metrics,1,needs_review,restrukturisasi utang,Other,Financial Sustainability,,Manual review -> restrukturisasi utang,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
women's leadership and empowerment,1,needs_review,sinergi budaya dan lingkungan,Other,Financial Sustainability,,Manual review -> sinergi budaya dan lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
environmental responsibility,1,needs_review,keragaman gender di dewan komisaris,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> keragaman gender di dewan komisaris,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
gender diversity in leadership,1,needs_review,solidarity and environmental and social impacts,Other,Community Relations,,GRI 413 Local Communities 2016 -> solidarity and environmental and social impacts,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
employment,1,needs_review,anti-bribery certification,Other,Governance & Ethics,,GRI 205 Anti corruption 2016 -> anti-bribery certification,Anti-bribery controls and certifications map to GRI 205 Anti-corruption 2016.
commitment to environmental impact minimization,1,needs_review,local suppliers,Other,Supply Chain,,GRI 308/414 Supplier Assessment -> local suppliers,Supplier screening and sustainable supply-chain controls map to GRI 308 Supplier Environmental Assessment 2016.
environmental performance evaluation,1,needs_review,taxes paid,Other,Financial Sustainability,,Manual review -> taxes paid,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
used oil reuse for anfo,1,needs_review,royalties paid,Other,Financial Sustainability,,GRI 207 Tax 2019 -> royalties paid,Taxes and royalty payments are best anchored to GRI 207 Tax 2019.
anti-bribery management system,1,needs_review,net profit,Other,Financial Sustainability,,GRI 201 Economic Performance -> net profit,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
tax payment,1,needs_review,training investment,Other,Human Capital,,GRI 401-404 Employment and Training -> training investment,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
royalties payment,1,needs_review,technology,Other,Governance & Ethics,,Governance / Data and Technology -> technology,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
solar power plant operation,1,needs_review,pengurangan konsumsi kertas,Other,Financial Sustainability,,Manual review -> pengurangan konsumsi kertas,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
solar pv generation,1,needs_review,keanekaragaman gender di dewan,Other,Governance & Ethics,,GRI 304 Biodiversity -> keanekaragaman gender di dewan,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
cost savings from solar,1,needs_review,penanganan keluhan,Other,Financial Sustainability,,Manual review -> penanganan keluhan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
environmental benefits of solar,1,needs_review,penciptaan kawasan industri ramah lingkungan,Other,Financial Sustainability,,Manual review -> penciptaan kawasan industri ramah lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pengelolaan oli bekas,1,needs_review,pengurangan konsumsi energi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> pengurangan konsumsi energi,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
filterisasi oli pada alat berat,1,needs_review,emission intensity,Other,Energy & Climate,,GRI 306 Waste / GRI 303 Water -> emission intensity,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
pemanfaatan kembali solar bekas,1,needs_review,inisiatif lingkungan,Other,Financial Sustainability,,Manual review -> inisiatif lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komite esg,1,needs_review,keterlibatan pemangku kepentingan,Other,Financial Sustainability,,Manual review -> keterlibatan pemangku kepentingan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
esg integration strategy,1,needs_review,inisiatif energi terbarukan,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> inisiatif energi terbarukan,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
women empowerment and leadership,1,needs_review,kepatuhan standar gri,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan standar gri,Reporting principles and framework references belong under GRI 1 Foundation 2021.
safe and healthy work environment,1,needs_review,sistem pengendalian internal,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> sistem pengendalian internal,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
occupational health and safety,1,needs_review,praktik ketenagakerjaan,Other,Human Capital,,GRI 401 Employment 2016 -> praktik ketenagakerjaan,Generic labor and workforce-practice wording maps to GRI 401 Employment 2016.
corporate social responsibility activities,1,needs_review,sustainability commitment,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> sustainability commitment,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
nilai tambah berkelanjutan dan ketahanan bisnis,1,needs_review,penanaman pohon,Other,Financial Sustainability,,Manual review -> penanaman pohon,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
strategi gcg,1,needs_review,kinerja keuangan dan non-keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> kinerja keuangan dan non-keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
pedoman gcg,1,needs_review,pengungkapan,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pengungkapan,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
penerapan prinsip gcg,1,needs_review,produk ramah lingkungan,Other,Financial Sustainability,,Manual review -> produk ramah lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penilaian gcg,1,needs_review,penghargaan keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> penghargaan keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
effluent quality monitoring,1,needs_review,pengadaan berkelanjutan,Other,Supply Chain,,GRI 204 Procurement Practices 2016 -> pengadaan berkelanjutan,Procurement wording maps to GRI 204 Procurement Practices 2016.
consistent calculation methodology,1,needs_review,praktik sosial dan ham,Other,Community Relations,,GRI 413 Local Communities -> praktik sosial dan ham,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
improvement of measurement recording,1,needs_review,esg-framework,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> esg-framework,Reporting principles and framework references belong under GRI 1 Foundation 2021.
business transformation and sustainable ecosystem,1,needs_review,kebijakan esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> kebijakan esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
restructuring and transformation for sustainable goals,1,needs_review,integrasi esg dalam strategi,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> integrasi esg dalam strategi,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
solidarity and awareness of environmental and social impacts,1,needs_review,peluang efisiensi,Other,Financial Sustainability,,Manual review -> peluang efisiensi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penciptaan nilai berkelanjutan bagi pemangku kepentingan,1,needs_review,risiko regulasi,Other,Financial Sustainability,,Manual review -> risiko regulasi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pembangunan fondasi gcg,1,needs_review,efisiensi energi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> efisiensi energi,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
operational material reuse,1,needs_review,mitigasi perubahan iklim,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> mitigasi perubahan iklim,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
women's environmental action,1,needs_review,etika bisnis,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> etika bisnis,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
operational efficiency study,1,needs_review,budaya tjsl,Other,Financial Sustainability,,Manual review -> budaya tjsl,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
commitment to business transformation and sustainable ecosystem,1,needs_review,manajemen tenaga kerja,Other,Human Capital,,GRI 401-404 Employment and Training -> manajemen tenaga kerja,General workforce and employment wording map to GRI 401 Employment 2016.
solidarity is key to developing operations and businesses aware of environmental and social impacts,1,needs_review,distribusi nilai ekonomi,Other,Financial Sustainability,,GRI 201 Economic Performance -> distribusi nilai ekonomi,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
"in 2022, successfully overcame challenges with positive achievements and implemented commitment to national infrastructure development",1,needs_review,kesejahteraan komunitas,Other,Community Relations,,GRI 413 Local Communities -> kesejahteraan komunitas,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
"this is the company's effort to achieve sustainable performance, implemented through business transformation",1,needs_review,fokus laporan keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> fokus laporan keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
"with these achievements, can maintain cultural and environmental synergies",1,needs_review,program alfability,Other,Financial Sustainability,,Manual review -> program alfability,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
"for past achievements, future business growth will be stronger, towards maximum and sustainable long-term contribution",1,needs_review,pengeluaran lingkungan,Other,Financial Sustainability,,Manual review -> pengeluaran lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
"company established, committed to providing best quality infrastructure through superior construction products and services",1,needs_review,materialitas,Other,Financial Sustainability,,Manual review -> materialitas,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
"in 2025, positive performance with 131.15% increase in new contract value compared to 2024",1,needs_review,penghargaan lingkungan,Other,Financial Sustainability,,Manual review -> penghargaan lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
completed various high-rise buildings with good reputation,1,needs_review,sertifikasi k3,Other,Human Capital,,GRI 401-404 Employment and Training -> sertifikasi k3,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
"not only in jakarta, waskita has projects in other cities in the country",1,needs_review,program komunitas,Other,Community Relations,,GRI 413 Local Communities -> program komunitas,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
"additionally, waskita's projects are in uae, saudi arabia, timor leste, and malaysia",1,needs_review,kualitas data,Other,Governance & Ethics,,Governance / Data and Technology -> kualitas data,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
becoming a leading company in building a sustainable ecosystem,1,needs_review,pengelolaan energi dan emisi,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> pengelolaan energi dan emisi,Operational energy consumption and renewable-energy usage remain active under GRI 302 Energy 2016 through 2026.
overburden and acid-generating material management,1,needs_review,ruang lingkup laporan,Other,Financial Sustainability,,Manual review -> ruang lingkup laporan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
lime treatment and zero discharge policy,1,needs_review,pencapaian bisnis,Other,Financial Sustainability,,Manual review -> pencapaian bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
grievance redress mechanism,1,needs_review,penghargaan esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> penghargaan esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
tax contribution,1,needs_review,tantangan bisnis,Other,Financial Sustainability,,Manual review -> tantangan bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
royalty payments,1,needs_review,pengembangan sumber daya manusia,Other,Financial Sustainability,,Manual review -> pengembangan sumber daya manusia,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
total workforce,1,needs_review,kinerja keberlanjutan esg,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> kinerja keberlanjutan esg,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
company vision and values,1,needs_review,sustainable growth,Other,Financial Sustainability,,Manual review -> sustainable growth,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
klasifikasi bank dan permodalan,1,needs_review,sustainable value creation,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> sustainable value creation,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
strategi integrasi esg,1,needs_review,kebijakan perlindungan pelapor,Other,Financial Sustainability,,Manual review -> kebijakan perlindungan pelapor,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen implementasi esg,1,needs_review,kepatuhan regulasi dan integrasi esg,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan regulasi dan integrasi esg,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
komposisi gender di kepemimpinan,1,needs_review,peran direksi dalam strategi keberlanjutan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> peran direksi dalam strategi keberlanjutan,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
kegiatan relawan dan penanaman pohon,1,needs_review,implementasi strategi keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> implementasi strategi keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
bantuan bencana,1,needs_review,budaya kerja dan akuntabilitas,Other,Financial Sustainability,,Manual review -> budaya kerja dan akuntabilitas,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
strategi inovasi produk berkelanjutan,1,needs_review,kepatuhan regulasi pelaporan keberlanjutan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan regulasi pelaporan keberlanjutan,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
keamanan produk dan layanan,1,needs_review,prospek bisnis,Other,Financial Sustainability,,Manual review -> prospek bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
adopsi produk,1,needs_review,emisi grk,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> emisi grk,"Emissions, GHG, and carbon-performance wording map to GRI 305 Emissions 2016."
commitment to occupational health and safety culture,1,needs_review,keandalan solusi,Other,Financial Sustainability,,Manual review -> keandalan solusi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
application of smkp in accordance with national regulations and international standards,1,needs_review,kolaborasi strategis,Other,Human Capital,,GRI 401-404 Employment and Training -> kolaborasi strategis,Existing workforce mapping was normalized to the employment standard.
commitment to diversity and inclusion,1,needs_review,tata kelola keuangan haji,Other,Governance & Ethics,,GRI 201 Economic Performance -> tata kelola keuangan haji,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
anti-discrimination and protection of vulnerable groups,1,needs_review,komitmen pelaporan rakb,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> komitmen pelaporan rakb,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
esg committee oversight on policies and implementation,1,needs_review,pembiayaan hijau,Other,Financial Sustainability,,Manual review -> pembiayaan hijau,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
"strategy, risk, opportunity",1,needs_review,literasi dan inklusi keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> literasi dan inklusi keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
"social, environmental",1,needs_review,efisiensi operasional,Other,Financial Sustainability,,Manual review -> efisiensi operasional,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
optimasi biaya dan peningkatan daya saing,1,needs_review,kerangka pelaporan,Other,Governance & Ethics,,GRI 1 Foundation 2021 -> kerangka pelaporan,Reporting principles and framework references belong under GRI 1 Foundation 2021.
pembentukan komite esg,1,needs_review,forward_looking,Other,Financial Sustainability,,Manual review -> forward_looking,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pembayaran pajak,1,needs_review,governance_oversight,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> governance_oversight,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pembayaran royalti,1,needs_review,business_strategy,Other,Financial Sustainability,,Manual review -> business_strategy,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pengawasan smkp,1,needs_review,kegiatan ramah lingkungan,Other,Financial Sustainability,,Manual review -> kegiatan ramah lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
tim tanggap darurat,1,needs_review,jangkauan operasional,Other,Financial Sustainability,,Manual review -> jangkauan operasional,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
identifikasi bahaya dan risiko,1,needs_review,tanggung jawab lingkungan dan sosial,Other,Community Relations,,GRI 413 Local Communities -> tanggung jawab lingkungan dan sosial,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
impact classification for mitigation,1,needs_review,esg commitment,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> esg commitment,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
identification of ecologically sensitive areas,1,needs_review,puncak perjalanan bisnis,Other,Financial Sustainability,,Manual review -> puncak perjalanan bisnis,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
operational management with ecological and social consideration,1,needs_review,komitmen keuangan berkelanjutan,Other,Financial Sustainability,,GRI 201 Economic Performance -> komitmen keuangan berkelanjutan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
mitigation implementation,1,needs_review,sustainability_contribution,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> sustainability_contribution,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
mitigation hierarchy,1,needs_review,pengungkapan ruang lingkup esg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pengungkapan ruang lingkup esg,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
impact avoidance actions,1,needs_review,pengembangan kompetensi karyawan,Other,Human Capital,,GRI 401-404 Employment and Training -> pengembangan kompetensi karyawan,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
impact minimization actions,1,needs_review,pertumbuhan berkelanjutan dan kontribusi stakeholder,Other,Community Relations,,GRI 413 Local Communities -> pertumbuhan berkelanjutan dan kontribusi stakeholder,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
restoration and rehabilitation actions,1,needs_review,fokus pelaporan esg,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> fokus pelaporan esg,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
monitoring and evaluation,1,needs_review,kebijakan sumber daya manusia,Other,Financial Sustainability,,Manual review -> kebijakan sumber daya manusia,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
long-term conservation goals,1,needs_review,pengembangan kepemimpinan,Other,Financial Sustainability,,Manual review -> pengembangan kepemimpinan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen terhadap transformasi bisnis berkelanjutan,1,needs_review,standar keselamatan kerja,Other,Human Capital,,GRI 401-404 Employment and Training -> standar keselamatan kerja,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
ekosistem berkelanjutan,1,needs_review,strategi bisnis jangka panjang,Other,Financial Sustainability,,Manual review -> strategi bisnis jangka panjang,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
